"PlotID","Site","Plot","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major"
"VUF0","VUF","A",1963,1.7176468950642,2.03046340796448,10,4,34,0.294117647058824,0.117647058823529
"VUF1","VUF","B",1963,1.70024851739251,2.37291310946689,9,2,37,0.243243243243243,0.0540540540540541
"VLF0","VLF","A",1964,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1964,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1964,1.76085101253543,2.21270666324467,13,4,34,0.382352941176471,0.117647058823529
"VUF1","VUF","B",1964,1.66765892507927,2.29571350812663,13,5,37,0.351351351351351,0.135135135135135
"VLF0","VLF","A",1965,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1965,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1965,1.75750270001965,2.22069226867057,12,4,35,0.342857142857143,0.114285714285714
"VUF1","VUF","B",1965,1.67822159858171,2.22935772893047,13,7,37,0.351351351351351,0.189189189189189
"VLF0","VLF","A",1966,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1966,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1966,1.69832136596929,2.17410720090038,14,3,35,0.4,0.0857142857142857
"VUF1","VUF","B",1966,1.71912316193788,2.33046313545364,15,6,37,0.405405405405405,0.162162162162162
"VLF0","VLF","A",1967,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1967,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1967,1.68773768697656,2.09578055827945,13,2,35,0.371428571428571,0.0571428571428571
"VUF1","VUF","B",1967,1.70393312693104,2.26099774852936,14,9,38,0.368421052631579,0.236842105263158
"VLF0","VLF","A",1968,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1968,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1968,1.67491421242276,NA,13,0,35,0.371428571428571,0
"VUF1","VUF","B",1968,1.7154334594222,2.29561184043717,15,8,38,0.394736842105263,0.210526315789474
"VLF0","VLF","A",1969,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1969,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1969,1.62730818487752,NA,7,0,35,0.2,0
"VUF1","VUF","B",1969,1.72308913143148,2.34307660970388,12,6,38,0.315789473684211,0.157894736842105
"VLF0","VLF","A",1970,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1970,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1970,1.67004109426596,NA,2,0,35,0.0571428571428571,0
"VUF1","VUF","B",1970,1.72340909348459,2.43393259524166,10,7,38,0.263157894736842,0.184210526315789
"VLF0","VLF","A",1971,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1971,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1971,1.86774193548387,NA,1,0,35,0.0285714285714286,0
"VUF1","VUF","B",1971,1.76743398333136,2.35475188673475,8,7,38,0.210526315789474,0.184210526315789
"VLF0","VLF","A",1972,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1972,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1972,1.92613636363636,NA,1,0,35,0.0285714285714286,0
"VUF1","VUF","B",1972,1.74225446745513,2.50709259080873,10,5,38,0.263157894736842,0.131578947368421
"VLF0","VLF","A",1973,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1973,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1973,1.85344129554656,NA,1,0,35,0.0285714285714286,0
"VUF1","VUF","B",1973,1.71491379466222,2.87808367623964,11,4,39,0.282051282051282,0.102564102564103
"VLF0","VLF","A",1974,1.50488599348534,NA,1,0,41,0.024390243902439,0
"VLF1","VLF","B",1974,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1974,1.64782746937712,NA,2,0,35,0.0571428571428571,0
"VUF1","VUF","B",1974,1.74371090586706,2.93266300640281,9,5,40,0.225,0.125
"VLF0","VLF","A",1975,1.66077537058153,NA,1,0,41,0.024390243902439,0
"VLF1","VLF","B",1975,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1975,1.54366830688832,NA,2,0,35,0.0571428571428571,0
"VUF1","VUF","B",1975,1.74100462302306,3.87194354548723,13,2,40,0.325,0.05
"VLF0","VLF","A",1976,1.65350218074439,NA,3,0,41,0.0731707317073171,0
"VLF1","VLF","B",1976,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1976,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1976,1.68532835551541,3.01691211488891,10,3,40,0.25,0.075
"VLF0","VLF","A",1977,1.77505849818348,NA,4,0,41,0.0975609756097561,0
"VLF1","VLF","B",1977,1.6234688878001,NA,1,0,45,0.0222222222222222,0
"VUF0","VUF","A",1977,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1977,1.65862332212976,2.84796656227945,6,3,40,0.15,0.075
"VLF0","VLF","A",1978,1.74954151381239,NA,3,0,41,0.0731707317073171,0
"VLF1","VLF","B",1978,1.56342936802974,NA,1,0,45,0.0222222222222222,0
"VUF0","VUF","A",1978,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1978,1.82154772411211,2.95713298677371,2,2,40,0.05,0.05
"VLF0","VLF","A",1979,1.63239484653278,NA,2,0,41,0.0487804878048781,0
"VLF1","VLF","B",1979,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1979,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1979,1.7082729528536,2.6569638574331,2,2,40,0.05,0.05
"VLF0","VLF","A",1980,1.57555282555283,NA,1,0,41,0.024390243902439,0
"VLF1","VLF","B",1980,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1980,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1980,1.77377436503249,2.30637189313667,1,2,41,0.024390243902439,0.0487804878048781
"VLF0","VLF","A",1981,1.51447527141134,NA,1,0,41,0.024390243902439,0
"VLF1","VLF","B",1981,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1981,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1981,1.75503364928209,2.20274725274725,2,1,41,0.0487804878048781,0.024390243902439
"VLF0","VLF","A",1982,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1982,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1982,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1982,1.75979872881356,2.07712126417039,1,1,41,0.024390243902439,0.024390243902439
"VLF0","VLF","A",1983,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1983,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1983,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1983,1.82480499570804,NA,2,0,41,0.0487804878048781,0
"VLF0","VLF","A",1984,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1984,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1984,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1984,1.7303154378517,NA,2,0,41,0.0487804878048781,0
"VLF0","VLF","A",1985,1.71533442088091,NA,1,0,41,0.024390243902439,0
"VLF1","VLF","B",1985,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1985,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1985,1.69230769230769,NA,1,0,42,0.0238095238095238,0
"VLF0","VLF","A",1986,1.54971181556196,NA,1,0,41,0.024390243902439,0
"VLF1","VLF","B",1986,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1986,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1986,NA,NA,0,0,42,0,0
"VLF0","VLF","A",1987,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1987,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1987,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1987,NA,NA,0,0,42,0,0
"VLF0","VLF","A",1988,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1988,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1988,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1988,NA,NA,0,0,42,0,0
"VLF0","VLF","A",1989,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1989,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1989,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1989,NA,NA,0,0,42,0,0
"VLF0","VLF","A",1990,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1990,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1990,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1990,1.60797840431914,NA,1,0,42,0.0238095238095238,0
"VLF0","VLF","A",1991,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1991,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1991,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1991,1.55996420047733,NA,1,0,42,0.0238095238095238,0
"VLF0","VLF","A",1992,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1992,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1992,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1992,1.52822120866591,NA,1,0,42,0.0238095238095238,0
"VLF0","VLF","A",1993,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1993,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1993,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1993,NA,NA,0,0,42,0,0
"VLF0","VLF","A",1994,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1994,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1994,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1994,NA,NA,0,0,42,0,0
"VLF0","VLF","A",1995,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1995,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1995,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1995,NA,NA,0,0,42,0,0
"VLF0","VLF","A",1996,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1996,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1996,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1996,NA,NA,0,0,42,0,0
"VLF0","VLF","A",1997,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1997,NA,NA,0,0,45,0,0
"VUF0","VUF","A",1997,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1997,NA,NA,0,0,42,0,0
"VLF0","VLF","A",1998,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1998,NA,NA,0,0,44,0,0
"VUF0","VUF","A",1998,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1998,NA,NA,0,0,42,0,0
"VLF0","VLF","A",1999,NA,NA,0,0,41,0,0
"VLF1","VLF","B",1999,NA,NA,0,0,44,0,0
"VUF0","VUF","A",1999,NA,NA,0,0,35,0,0
"VUF1","VUF","B",1999,NA,NA,0,0,42,0,0
"VLF0","VLF","A",2000,NA,NA,0,0,41,0,0
"VLF1","VLF","B",2000,NA,NA,0,0,44,0,0
"VUF0","VUF","A",2000,NA,NA,0,0,35,0,0
"VUF1","VUF","B",2000,NA,NA,0,0,42,0,0
"VLF0","VLF","A",2001,NA,NA,0,0,41,0,0
"VLF1","VLF","B",2001,NA,NA,0,0,44,0,0
"VUF0","VUF","A",2001,NA,NA,0,0,35,0,0
"VUF1","VUF","B",2001,NA,NA,0,0,41,0,0
"VLF0","VLF","A",2002,NA,NA,0,0,40,0,0
"VLF1","VLF","B",2002,1.64651162790698,NA,1,0,44,0.0227272727272727,0
"VUF0","VUF","A",2002,NA,NA,0,0,35,0,0
"VUF1","VUF","B",2002,NA,NA,0,0,40,0,0
"VLF0","VLF","A",2003,NA,NA,0,0,40,0,0
"VLF1","VLF","B",2003,NA,NA,0,0,44,0,0
"VUF0","VUF","A",2003,NA,NA,0,0,35,0,0
"VUF1","VUF","B",2003,NA,NA,0,0,40,0,0
"VLF0","VLF","A",2004,NA,NA,0,0,40,0,0
"VLF1","VLF","B",2004,NA,NA,0,0,44,0,0
"VUF0","VUF","A",2004,NA,NA,0,0,35,0,0
"VUF1","VUF","B",2004,NA,NA,0,0,40,0,0
"VLF0","VLF","A",2005,NA,NA,0,0,40,0,0
"VLF1","VLF","B",2005,NA,NA,0,0,44,0,0
"VUF0","VUF","A",2005,NA,NA,0,0,33,0,0
"VUF1","VUF","B",2005,NA,NA,0,0,40,0,0
"VLF0","VLF","A",2006,NA,NA,0,0,38,0,0
"VLF1","VLF","B",2006,NA,NA,0,0,44,0,0
"VUF0","VUF","A",2006,NA,NA,0,0,27,0,0
"VUF1","VUF","B",2006,NA,NA,0,0,38,0,0
"VLF0","VLF","A",2007,NA,NA,0,0,38,0,0
"VLF1","VLF","B",2007,NA,NA,0,0,42,0,0
"VUF0","VUF","A",2007,NA,NA,0,0,24,0,0
"VUF1","VUF","B",2007,NA,NA,0,0,35,0,0
"VLF0","VLF","A",2008,NA,NA,0,0,37,0,0
"VLF1","VLF","B",2008,NA,NA,0,0,38,0,0
"VUF0","VUF","A",2008,NA,NA,0,0,22,0,0
"VUF1","VUF","B",2008,NA,NA,0,0,27,0,0
"VLF0","VLF","A",2009,NA,NA,0,0,36,0,0
"VLF1","VLF","B",2009,NA,NA,0,0,38,0,0
"VUF0","VUF","A",2009,NA,NA,0,0,17,0,0
"VUF1","VUF","B",2009,NA,NA,0,0,22,0,0
"VLF0","VLF","A",2010,NA,NA,0,0,36,0,0
"VLF1","VLF","B",2010,NA,NA,0,0,38,0,0
"VUF0","VUF","A",2010,NA,NA,0,0,12,0,0
"VUF1","VUF","B",2010,NA,NA,0,0,17,0,0
"VLF0","VLF","A",2011,NA,NA,0,0,36,0,0
"VLF1","VLF","B",2011,NA,NA,0,0,38,0,0
"VUF0","VUF","A",2011,NA,NA,0,0,12,0,0
"VUF1","VUF","B",2011,NA,NA,0,0,13,0,0
"VLF0","VLF","A",2012,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",2012,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",2012,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",2012,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",2013,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",2013,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",2013,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",2013,NA,NA,0,0,0,NA,NA
"VLF0","VLF","A",2014,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",2014,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",2014,NA,NA,0,0,0,NA,NA
"VUF1","VUF","B",2014,NA,NA,0,0,0,NA,NA
